iata,country,lat,lon
YYD,Canada,54.82469940185547,-127.18299865722656
YYE,Canada,58.8363990784,-122.597000122
YYF,Canada,49.46310043334961,-119.60199737548828
YYG,Canada,46.290000915527344,-63.12110137939453
YYH,Canada,69.5466995239,-93.5766983032
YYJ,Canada,48.646900177,-123.426002502
YYL,Canada,56.86389923095703,-101.07599639892578
YYN,Canada,50.291900634799994,-107.691001892
YYQ,Canada,58.739200592041016,-94.06500244140625
YYR,Canada,53.3191986084,-60.4258003235
YYT,Canada,47.618598938,-52.7518997192
YYU,Canada,49.41389846801758,-82.46749877929688
YYW,Canada,50.29029846191406,-88.90969848632812
YYY,Canada,48.60860061645508,-68.20809936523438
YYZ,Canada,43.6772003174,-79.63059997559999
YZD,Canada,43.74250030517578,-79.4655990600586
YZE,Canada,45.88529968261719,-82.56780242919922
YZF,Canada,62.462799072265625,-114.44000244140625
YZH,Canada,55.2930984497,-114.777000427
YZP,Canada,53.25429916379999,-131.813995361
YZR,Canada,42.9994010925293,-82.30889892578125
YZT,Canada,50.680599212646484,-127.36699676513672
YZU,Canada,54.14390182495117,-115.78700256347656
YZV,Canada,50.22330093383789,-66.2656021118164
YZW,Canada,60.17279815673828,-132.7429962158203
YZX,Canada,44.98440170288086,-64.91690063476562
ZFA,Canada,62.20750045776367,-133.37600708007812
ZFM,Canada,67.40750122070312,-134.86099243164062
QLD,Algeria,36.50360107421875,2.8141698837280273
BUJ,Algeria,35.33250045776367,4.206389904022217
BJA,Algeria,36.7120018005,5.0699200630200005
ALG,Algeria,36.691001892089844,3.215409994125366
DJG,Algeria,24.292801,9.45244
VVZ,Algeria,26.7234992981,8.62265014648
TMR,Algeria,22.8115005493,5.45107984543
GJL,Algeria,36.7951011658,5.87361001968
MZW,Algeria,33.535900116,-0.242353007197
AAE,Algeria,36.822201,7.809174
CZL,Algeria,36.2760009765625,6.620389938354492
TEE,Algeria,35.4315986633,8.12071990967
HRM,Algeria,32.93040084838867,3.311539888381958
TID,Algeria,35.3410987854,1.46315002441
TIN,Algeria,27.7003993988,-8.167099952700001
CFK,Algeria,36.2126998901,1.33176994324
TAF,Algeria,35.54240036010742,-0.5322780013084412
TLM,Algeria,35.0167007446,-1.45000004768
ORN,Algeria,35.6239013672,-0.6211829781529999
BFW,Algeria,35.1717987061,-0.593275010586
MUW,Algeria,35.207698822021484,0.14714199304580688
AZR,Algeria,27.837600708007812,-0.18641400337219238
BSK,Algeria,34.793300628699996,5.73823022842
ELG,Algeria,30.571300506591797,2.8595900535583496
GHA,Algeria,32.38410186767578,3.794110059738159
HME,Algeria,31.673000335699996,6.140439987180001
INZ,Algeria,27.250999450699997,2.51202011108
TGR,Algeria,33.06779861450195,6.088669776916504
LOO,Algeria,33.764400482199996,2.92833995819
TMX,Algeria,29.2371006012,0.276033014059
OGX,Algeria,31.917200088500977,5.412779808044434
IAM,Algeria,28.0515,9.64291
COO,Benin,6.357230186462402,2.384350061416626
OUA,Burkina Faso,12.3532,-1.51242
BOY,Burkina Faso,11.160099983215332,-4.33096981048584
ACC,Ghana,5.605189800262451,-0.16678600013256073
TML,Ghana,9.55718994140625,-0.8632140159606934
NYI,Ghana,7.361830234527588,-2.3287599086761475
TKD,Ghana,4.896059989929199,-1.7747600078582764
ABJ,Cote d'Ivoire,5.261390209197998,-3.9262900352478027
BYK,Cote d'Ivoire,7.738800048828125,-5.073669910430908
DJO,Cote d'Ivoire,6.792809963226318,-6.473189830780029
HGO,Cote d'Ivoire,9.38718032837,-5.55666017532
MJC,Cote d'Ivoire,7.272069931030273,-7.58735990524292
SPY,Cote d'Ivoire,4.746719837188721,-6.660820007324219
ASK,Cote d'Ivoire,6.9031701088,-5.36558008194
ABV,Nigeria,9.006790161132812,7.263169765472412
AKR,Nigeria,7.246739864349365,5.3010101318359375
BNI,Nigeria,6.316979885101318,5.5995001792907715
CBQ,Nigeria,4.976019859313965,8.347200393676758
ENU,Nigeria,6.474269866943359,7.561960220336914
IBA,Nigeria,7.362460136413574,3.97832989692688
ILR,Nigeria,8.440210342407227,4.493919849395752
JOS,Nigeria,9.639829635620117,8.869050025939941
KAD,Nigeria,10.696000099182129,7.320109844207764
KAN,Nigeria,12.0476,8.52462
MIU,Nigeria,11.855299949645996,13.080900192260742
MDI,Nigeria,7.70388,8.61394
LOS,Nigeria,6.5773701667785645,3.321160078048706
MXJ,Nigeria,9.652170181274414,6.462259769439697
PHC,Nigeria,5.0154900550842285,6.94959020614624
SKO,Nigeria,12.916299819946289,5.207190036773682
YOL,Nigeria,9.257550239562988,12.430399894714355
ZAR,Nigeria,11.1302,7.68581
MFQ,Niger,13.5024995803833,7.1267499923706055
NIM,Niger,13.4815,2.18361
THZ,Niger,14.875699996948242,5.265359878540039
AJY,Niger,16.965999603271484,8.000109672546387
ZND,Niger,13.779000282287598,8.983759880065918
MIR,Tunisia,35.75809860229492,10.75469970703125
TUN,Tunisia,36.85100173950195,10.22719955444336
GAF,Tunisia,34.422000885009766,8.822500228881836
GAE,Tunisia,33.87689971923828,10.103300094604492
DJE,Tunisia,33.875,10.775500297546387
EBM,Tunisia,31.704299926757812,9.254619598388672
SFA,Tunisia,34.71799850463867,10.690999984741211
TOE,Tunisia,33.939701080322266,8.110560417175293
LRL,Togo,9.767330169677734,1.091249942779541
LFW,Togo,6.165609836578369,1.2545100450515747
ANR,Belgium,51.1893997192,4.46027994156
BRU,Belgium,50.901401519800004,4.48443984985
CRL,Belgium,50.459202,4.45382
KJK,Belgium,50.817199707,3.20472002029
LGG,Belgium,50.63740158081055,5.443220138549805
OST,Belgium,51.198898315399994,2.8622200489
OBL,Belgium,51.264702,4.75333
AOC,Germany,50.981945,12.506389
IES,Germany,51.2936096191,13.3561105728
REB,Germany,53.306388855,12.7522220612
QXH,Germany,52.203609,13.156389
BBH,Germany,54.338253,12.710515
ZMG,Germany,52.073612,11.626389
CBU,Germany,51.889442,14.531944
SXF,Germany,52.380001,13.5225
DRS,Germany,51.1328010559082,13.767200469970703
ERF,Germany,50.979801177978516,10.958100318908691
FRA,Germany,50.033333,8.570556
FMO,Germany,52.134601593,7.68483018875
HAM,Germany,53.630401611328,9.9882297515869
THF,Germany,52.472999572753906,13.403900146484375
CGN,Germany,50.8658981323,7.1427397728
DUS,Germany,51.289501,6.76678
MUC,Germany,48.353802,11.7861
NUE,Germany,49.498699,11.078056
LEJ,Germany,51.423889,12.236389
SCN,Germany,49.214599609400004,7.10950994492
STR,Germany,48.689899444599995,9.22196006775
TXL,Germany,52.5597,13.2877
HAJ,Germany,52.461101532,9.685079574580001
BRE,Germany,53.0475006104,8.78666973114
QEF,Germany,49.959999,8.645833
HHN,Germany,49.9487,7.26389
MHG,Germany,49.473057,8.514167
EIB,Germany,50.991604,10.47973
SGE,Germany,50.707698822021484,8.082969665527344
XFW,Germany,53.5352783203125,9.835556030273438
KEL,Germany,54.37944412231445,10.145277976989746
LBC,Germany,53.8054008484,10.7192001343
ESS,Germany,51.40230178833008,6.9373297691345215
BFE,Germany,51.964722,8.544444
MGL,Germany,51.230278,6.504444
PAD,Germany,51.614101409899995,8.616319656369999
DTM,Germany,51.51829910279999,7.61223983765
AGB,Germany,48.425278,10.931667
OBF,Germany,48.081402,11.2831
RBM,Germany,48.90083312988281,12.516667366027832
FDH,Germany,47.671298980699994,9.51148986816
SZW,Germany,53.426998,11.7834
BYU,Germany,49.985001,11.64
URD,Germany,49.794166564941,11.133610725403
HOQ,Germany,50.288612365722656,11.856389045715332
ZQW,Germany,49.2094,7.40056
ZQL,Germany,47.97333145139999,8.52222156525
BWE,Germany,52.319199,10.5561
KSF,Germany,51.417273,9.384967
BRV,Germany,53.506943,8.572778
EME,Germany,53.391109,7.2275
WVN,Germany,53.502220153808594,8.05222225189209
BMK,Germany,53.59639,6.709167
NRD,Germany,53.70694351196289,7.230000019073486
FLF,Germany,54.77333450317383,9.378889083862305
GWT,Germany,54.9132003784,8.34047031403
KDL,Estonia,58.99079895019531,22.830699920654297
URE,Estonia,58.22990036010742,22.50950050354004
EPU,Estonia,58.41899871826172,24.47279930114746
TLL,Estonia,59.41329956049999,24.832799911499997
TAY,Estonia,58.3074989319,26.690399169900004
ENF,Finland,68.362602233887,23.424299240112
KEV,Finland,61.856039,24.786686
HEM,Finland,60.254600524902344,25.042800903320312
HEL,Finland,60.317199707031,24.963300704956
HYV,Finland,60.6543998718,24.8810997009
KTQ,Finland,62.1661,30.073601
IVL,Finland,68.607299804688,27.405300140381
JOE,Finland,62.662899017334,29.607500076294
JYV,Finland,62.399501800537,25.678300857544
KAU,Finland,63.127102,23.051399
KEM,Finland,65.778701782227,24.582099914551
KAJ,Finland,64.285499572754,27.692399978638
KHJ,Finland,62.4625015259,22.3931007385
KOK,Finland,63.721199035645,23.143100738525
KAO,Finland,65.987602233887,29.239400863647
